Length,Width,Freq [GHz],S11,S21,,,,,,,,
100,18,8.8,-30.97384152,-0.003471952,,,,,,,,
100,18,9,-30.52184468,-0.003852942,,,,,,,,
100,18,9.2,-30.74630109,-0.003658787,,,,,,,,
100,18,9.4,-31.01916256,-0.003435895,,,,,,,,
100,18,9.6,-29.74272193,-0.004610443,,,,,,,,
100,18,9.8,-27.21334933,-0.008257759,,,,,,,,
100,18,10,-24.91861191,-0.014015988,,,,,,,,
100,21,5,-56.19089244,-92.71256613,,,,,,,,
100,21,5.2,-56.27284274,-88.99782916,,,,,,,,
100,21,5.4,-56.2981113,-84.96685943,,,,,,,,
100,21,5.6,-56.23897325,-80.57242993,,,,,,,,
100,21,5.8,-56.05399141,-75.75156721,,,,,,,,
100,21,6,-55.67938961,-70.41703691,,,,,,,,
100,21,6.2,-55.01302491,-64.44174451,,,,,,,,
100,21,6.4,-53.88131203,-57.62712601,,,,,,,,
100,21,6.6,-51.95835774,-49.62914316,,,,,,,,
100,21,6.8,-48.50318682,-39.74031774,,,,,,,,
100,21,7,-40.87025009,-25.8783028,,,,,,,,
100,21,7.2,-25.56697234,-0.012069532,,,,,,,,
100,21,7.4,-42.23371259,-0.000259673,,,,,,,,
100,21,7.6,-41.26479545,-0.000324579,,,,,,,,
100,21,7.8,-41.82583772,-0.000285243,,,,,,,,
100,21,8,-37.82422419,-0.0007168,,,,,,,,
100,21,8.2,-35.16801259,-0.001321445,,,,,,,,
100,21,8.4,-33.93506519,-0.001755357,,,,,,,,
100,21,8.6,-33.75922341,-0.001827904,,,,,,,,
100,21,8.8,-34.56621019,-0.001517886,,,,,,,,
100,21,9,-36.58451887,-0.00095363,,,,,,,,
100,21,9.2,-40.70033078,-0.000369632,,,,,,,,
100,21,9.4,-51.42192354,-3.13E-05,,,,,,,,
100,21,9.6,-45.09936498,-0.000134232,,,,,,,,
100,21,9.8,-37.87089961,-0.000709136,,,,,,,,
100,21,10,-34.39470081,-0.00157904,,,,,,,,
100,24,5,-57.02370008,-68.16384491,,,,,,,,
100,24,5.2,-56.67324085,-63.01286498,,,,,,,,
100,24,5.4,-56.04374722,-57.17452663,,,,,,,,
100,24,5.6,-54.89919397,-50.41132839,,,,,,,,
100,24,5.8,-52.70723998,-42.28273127,,,,,,,,
100,24,6,-48.02377914,-31.75839796,,,,,,,,
100,24,6.2,-33.28847294,-14.27431021,,,,,,,,
100,24,6.4,-34.33210621,-0.001601968,,,,,,,,
100,24,6.6,-39.09302985,-0.00053519,,,,,,,,
100,24,6.8,-41.00552921,-0.000344547,,,,,,,,
100,24,7,-41.8390922,-0.000284374,,,,,,,,
100,24,7.2,-38.92364425,-0.000556478,,,,,,,,
100,24,7.4,-35.53239111,-0.001215083,,,,,,,,
100,24,7.6,-33.35514356,-0.002006182,,,,,,,,
100,24,7.8,-32.42871541,-0.002483344,,,,,,,,
100,24,8,-32.70769172,-0.002328797,,,,,,,,
100,24,8.2,-34.09694094,-0.001691121,,,,,,,,
100,24,8.4,-35.06405367,-0.001353464,,,,,,,,
100,24,8.6,-32.15558816,-0.002644586,,,,,,,,
100,24,8.8,-27.85404634,-0.007124196,,,,,,,,
100,24,9,-24.30173415,-0.016159153,,,,,,,,
100,24,9.2,-21.5451625,-0.030534717,,,,,,,,
100,24,9.4,-19.39457095,-0.050215242,,,,,,,,
100,24,9.6,-17.70495713,-0.074301637,,,,,,,,
100,24,9.8,-16.37815245,-0.101161986,,,,,,,,
100,24,10,-15.34726109,-0.128669554,,,,,,,,
100,27,5,-61.15897239,-43.98332809,,,,,,,,
100,27,5.2,-57.17756747,-35.49173949,,,,,,,,
100,27,5.4,-48.92066153,-23.63565761,,,,,,,,
100,27,5.6,-30.0781209,-0.004267618,,,,,,,,
100,27,5.8,-47.11854725,-8.43E-05,,,,,,,,
100,27,6,-43.56647108,-0.00019105,,,,,,,,
100,27,6.2,-40.92560468,-0.000350947,,,,,,,,
100,27,6.4,-39.26600109,-0.000514292,,,,,,,,
100,27,6.6,-38.04616392,-0.000681086,,,,,,,,
100,27,6.8,-37.14122315,-0.000838888,,,,,,,,
100,27,7,-36.48478859,-0.000975785,,,,,,,,
100,27,7.2,-35.98938248,-0.001093706,,,,,,,,
100,27,7.4,-35.52745626,-0.001216465,,,,,,,,
100,27,7.6,-34.94432497,-0.001391302,,,,,,,,
100,27,7.8,-34.11379479,-0.00168457,,,,,,,,
100,27,8,-33.00638199,-0.002173976,,,,,,,,
100,27,8.2,-31.69456361,-0.002940864,,,,,,,,
100,27,8.4,-30.28858366,-0.004065643,,,,,,,,
100,27,8.6,-28.87730576,-0.005627754,,,,,,,,
100,27,8.8,-27.51155922,-0.00770928,,,,,,,,
